porcentage,sigma0,sigma0.01,sigma0.02,sigma0.05,sigma0.1
0,1.244757067e-09,0.175244362452763,0.200349625011988,0.190139227035892,0.169673335369683
2.56410256410256,6.92149685767308e-13,0.108810843976544,0.156977395938559,0.174840989171866,0.162023077272939
5.12820512820513,6.17204058264249e-13,0.0666444826568049,0.120724297117569,0.163694878154428,0.164429921632913
7.69230769230769,5.97970796921188e-12,0.0441082770564171,0.089622708590637,0.150816926594565,0.165902228840498
10.2564102564103,3.14037907789566e-13,0.0317046865569605,0.0676932460527351,0.138215502604816,0.165221346900665
12.8205128205128,1.06070291849484e-13,0.0233375907447212,0.0529961812484817,0.12330770056274,0.162982287426277
15.3846153846154,7.17156235311288e-13,0.0186616782447368,0.0419672872029665,0.109883429676149,0.159763920169601
17.9487179487179,3.82629001069774e-14,0.0149785025346063,0.0339593082500027,0.0972099831780746,0.155371271730892
20.5128205128205,6.66088044335973e-14,0.0121029614803422,0.0288178849076654,0.085342355278921,0.148631163049292
23.0769230769231,4.33264721753578e-14,0.0106569425889461,0.0236478480899832,0.0730882823830293,0.139050480582324
25.6410256410256,7.29368529206067e-14,0.00922507123328494,0.019775273500162,0.0626007203567209,0.127141173939947
28.2051282051282,3.61661535554705e-14,0.0077408957947777,0.0170665271690682,0.0544829036529488,0.11356488330507
30.7692307692308,1.87818648828131e-14,0.00647728119942199,0.0146710472204845,0.045623320296791,0.0974515030693727
33.3333333333333,7.3500672497302e-15,0.00561089381689854,0.0127067594132531,0.0387686122984751,0.0814739552539702
35.8974358974359,4.33102954168726e-15,0.00492266462613825,0.0110350280623657,0.0322263608287653,0.0654863593964779
38.4615384615385,4.44542065499619e-15,0.00435876675203658,0.0097794892929278,0.0267994166239383,0.0539473447750073
41.025641025641,5.21577653051056e-15,0.00394487116694484,0.00881683470444396,0.0227488767617719,0.0451517377235538
43.5897435897436,4.52548540576873e-15,0.00361953158327011,0.00803790091500207,0.0201386682930675,0.0401699526302713
46.1538461538462,8.68587124761301e-15,0.0034674470282691,0.00761738424076684,0.0184420357708482,0.0379712860213035
48.7179487179487,7.91447054744784e-15,0.00334508548979908,0.00727864368628806,0.0173604758519223,0.0378378643665991
51.2820512820513,8.93118190504234e-15,0.00327009942016808,0.00707797061245149,0.016837131215554,0.0385608573843978
53.8461538461538,3.25801776987182e-15,0.00319447497664941,0.00688730267169356,0.0166185994069651,0.0397698198486505
56.4102564102564,2.21670798599409e-15,0.00311389555655738,0.00671686563985443,0.0164328228964163,0.0406167180168625
58.974358974359,2.3047605874027e-15,0.0030634114236841,0.00661094035139088,0.0161243458855447,0.0414058178983611
61.5384615384615,9.93944925919935e-14,0.00304265879988172,0.00645269013058801,0.0159861310170558,0.0413094924124043
64.1025641025641,1.44102831606346e-15,0.0029618957045583,0.00637025762410197,0.0160220933720592,0.0407614619222998
66.6666666666667,2.43169164964403e-15,0.00294344812697721,0.0062980571777209,0.0161514995878777,0.0398649311298782
69.2307692307692,7.25409930829534e-15,0.00295525732196365,0.00631044638820898,0.0163728103903445,0.0391331086660024
71.7948717948718,4.88133112491826e-15,0.0029698396160178,0.00632214810523016,0.0166898344024097,0.0385674160062217
74.3589743589744,4.09441926023764e-15,0.00297519597610135,0.00634126616809223,0.017045266788318,0.0381130894426093
76.9230769230769,7.02736129369915e-15,0.00298604459062799,0.00636751625371309,0.0174067945141853,0.0378940629955721
79.4871794871795,1.1431966958529e-14,0.00298408938525651,0.00638995532626028,0.017595474707416,0.0376741612598443
82.0512820512821,6.48251339809801e-14,0.00299183584769236,0.00637609474242731,0.0177668701834125,0.0365724688615673
84.6153846153846,2.97810327611859e-15,0.00296021433740024,0.00633480895767924,0.0176261183428119,0.0358379397072385
87.1794871794872,4.05881390818635e-15,0.00282431677999212,0.00613404639053241,0.0171634572574633,0.0337952145520753
89.7435897435897,3.6433811238557e-15,0.00270674905452254,0.00596802589264603,0.0162489084973034,0.0311889151968213
92.3076923076923,5.43374147365789e-15,0.00263029583961653,0.00577072788498925,0.0153211101715105,0.0292115626930617
94.8717948717949,6.29962756580017e-15,0.0025596181339559,0.00549162681148998,0.0144956550527041,0.0280916797893165
97.4358974358974,2.88734232704909e-14,0.00250216376488948,0.00533853272578213,0.013779543146531,0.0277259247695088
100,6.50923823933156e-14,0.00247910047916564,0.00521570519487897,0.0132708850433926,0.0279236934978785
