FaultType,Sigma12,Sigma23,Sigma31,Dev_Sigma12,Dev_Sigma23,Dev_Sigma31,TotalDeviation
C-G,0.9621401634728,0.192762110024557,0.192415685697567,0.384789894283174,0.384588159165069,0.384934583492059,0.666442757092189
B-G,0.192436260267165,0.19279815237587,0.962114426388354,0.384914008922461,0.384552116813756,0.384764157198728,0.666395214175153
A-G,0.192845396214274,0.96184641841664,0.19286299261924,0.384504872975352,0.384496149227014,0.384487276570385,0.665966779919769
A-B,3.87341063636249e-05,0.706867844598955,0.707284915523025,0.577311535083262,0.12951757540933,0.129934646333399,0.605761028127338
C-A,0.707302081403923,0.706834022364631,5.02656559282004e-05,0.129951812214297,0.129483753175005,0.577300003533698,0.605746489807471
B-C,0.707024515316745,0.000602828103690663,0.706915138407695,0.12967424612712,0.576747441085935,0.129564869218069,0.605177722857762
A-B-G,0.140054593497657,0.699950804919564,0.700284874133571,0.437295675691969,0.122600535729938,0.122934604943945,0.470501133296071
C-A-G,0.700299590583946,0.699923573620004,0.140062697521381,0.12294932139432,0.122573304430378,0.437287571668245,0.47049035157569
B-C-G,0.700054579329203,0.140484736461213,0.699967020836875,0.122704310139577,0.436865532728412,0.122616751647249,0.470045433120494
ABC,0.577350269189638,0.577350269189638,0.577350269189638,1.25455201782643e-14,1.21014309684142e-14,1.25455201782643e-14,2.14761445462114e-14
